,Item,Unit Ukuran,Kekerapan / Unit Ukuran,Bil. Unit Ukuran Sehari,Bil. Unit Ukuran Sebulan,Kuantiti,* Maklumbalas,Tawaran Pembekal
,"6.0 Penyebut harga hendaklah menyediakan dokumen berikut:
i. Manual teknikal/operasi yang lengkap kepada Pentadbir Teknikal Portal Rasmi JKPTG; dan
ii. Manual pengguna yang lengkap dan mudah difahami kepada Pasukan Projek / Penyelaras Kandungan Portal JKPTG
iii. Semua manual yang diperlukan perlu masukkan kedalam catatan lampiran 2
Sila berikan penjelasan.",28,,,,,,
,ITEM 5: PENGUJIAN PENGUKUHAN PENGUJIAN DAN PENTAULIAHAN PORTAL RASMI BAHARU JKPTG,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyediakan pelan pengujian dan mendapatkan pengesahan Pihak Kerajaan. Pelan Pengujian ini hendaklah dimasukkan ke dalam catatan Lampiran 2 - Jadual Pelaksanaan.Tarikh pengujian yang akan dilaksanakan tertakluk kepada persetujuan Kerajaan.
Sila berikan penjelasan.",28,,,,,,
,"2.0 Penyebut harga hendaklah melaksanakan aktiviti pengujian berikut:
i. User Acceptance Test (UAT)
ii. Final Acceptance Test (FAT) - tempoh FAT ditetapkan selama sebulan iaitu selepas go-live dilaksanakan
iii. Stress Test bersama pihak ketiga yang dilantik oleh Pihak Kerajaan
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
,3.0 Penyebut harga hendaklah menyediakan semua jenis Skrip Pengujian (Test Script) dan diserahkan kepada pegawai JKPTG terlibat bagi tujuan pengujian.,12,,,,,,
,4.0 Penyebut harga hendaklah melaksanakan debugging dan membuat pembetulan serta pindaan sehingga semua portal yang dibangunkan memenuhi spesifikasi yang ditetapkan dan berfungsi dengan baik.,28,,,,,,
,"5.0 Penyebut harga hendaklah memastikan aktiviti hardening dilakukan berdasarkan keputusan pengujian Security Posture Assessment (SPA) yang dilaksanakan secara dalaman oleh JKPTG. Portal perlu berfungsi dan beroperasi dengan baik selepas aktiviti hardening dilaksanakan.
Sila berikan penjelasan.",28,,,,,,
,6.0 Penyebut harga hendaklah mengemukakan Laporan Pengujian termasuk Hasil Pengujian (Test Results) kepada Pihak Kerajaan. Kesemua penerimaan pengujian hendaklahlah disahkan oleh Pihak Kerajaan.,12,,,,,,
,7.0 Penyebut harga hendaklah membuat Penyerahan/Pentauliahan portal selepas menerima pengesahan pentauliahan dari Kerajaan. Penyerahan/Pentauliahan portal hanya boleh dilaksanakan setelah keseluruhan portal berfungsi dengan lancar dan mengikut keperluan pengguna serta mendapat kelulusan dan pengesahan daripada Kerajaan.,12,,,,,,
,ITEM 6: LATIHAN,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyediakan Pelan Latihan dan Pemindahan Teknologi (Transfer of Technology (TOT) Plan) antara Penyebut harga dan Pihak Kerajaan bagi memastikan Pihak Kerajaan berkebolehan untuk mentadbir, menyelenggara dan membuat penambahbaikan terhadap Portal JKPTG mengikut keperluan pada masa hadapan.",12,,,,,,
,"2.0 Penyebut harga hendaklah menyediakan Latihan kepada pegawai yang terlibat didalam pengoperasian Portal seperti berikut :
i. Latihan Teknikal (Pentadbir server) - 5 orang x 2 hari;
ii. Latihan Pentadbir sistem portal 5 orang x1 hari;
iii. Latihan Pengguna (Pentadbir/Penyelaras Kandungan portal/data) - 30 Orang x 2 hari
Lokasi latihan di pejabat JKPTG.
Penyebut Harga MESTI menanggung makan minum, penyediaan material bengkel dan lain-lain yang setara.",12,,,,,,
,"3.0 Penyebut harga hendaklah menyediakan dokumentasi seperti berikut:
i. Manual Pengguna
ii. Modul Latihan
iii. Manual Operasi Sistem Portal",12,,,,,,
,4.0 Penyebut harga hendaklah bersetuju menyerahkan semua kod sumber hasil daripada pelaksanaan perkhidmatan ini dalam format yang akan ditetapkan kemudian dan memastikan kesemua kod sumber tersebut berfungsi dan terkini.,12,,,,,,
